Date,Open,High,Low,Close,Volume,Change,MA5,MA20,MA60,MA120,MA200,High_52W,Low_52W,Dist_High_52W,Dist_Low_52W,RSI,MACD,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,BB_Width,BB_Pct,Volume_MA20,Volume_Ratio,Daily_Return,Volatility_20
2025-08-29,105900,107800,105500,105800,704357,0.0009460737937558861,104540.0,103175.0,100903.33333333333,0.0,0.0,0.0,0.0,0.0,0.0,64.44444444444444,955.5220331981691,874.8516027784269,80.67043041974216,103175.0,106191.35890646843,100158.64109353157,6032.717812936869,0.9351272645922079,670687.95,1.0502007677340857,0.0009460737937558861,0.1839874521695233
2025-09-01,106800,107900,106000,106500,496884,0.006616257088846833,104900.0,103460.0,101126.66666666667,0.0,0.0,0.0,0.0,0.0,0.0,67.62589928057554,1069.7052666357195,913.8223355498855,155.882931085834,103460.0,106605.85776102981,100314.14223897019,6291.715522059618,0.9831750560465178,626804.45,0.7927257057603851,0.006616257088846833,0.17405164059932748
2025-09-02,106200,107200,105750,107200,400273,0.00657276995305156,105740.0,103680.0,101325.0,0.0,0.0,0.0,0.0,0.0,0.0,68.75,1202.8151473445032,971.620897908809,231.19424943569425,103680.0,107221.98873664587,100138.01126335413,7083.977473291743,0.9968959900382414,608037.6,0.6583030391541576,0.00657276995305156,0.1628442036196799
2025-09-03,106100,107800,106100,107000,544535,-0.001865671641791078,106440.0,103960.0,101533.33333333333,0.0,0.0,0.0,0.0,0.0,0.0,64.3939393939394,1277.4418043403275,1032.7850791951128,244.65672514521475,103960.0,107626.29025181125,100293.70974818875,7332.5805036225065,0.9145880155694248,590670.6,0.9218928451830851,-0.001865671641791078,0.15278523153514986
2025-09-04,106000,107200,105800,107000,563510,0.0,106700.0,104220.0,101701.66666666667,0.0,0.0,0.0,0.0,0.0,0.0,62.99212598425196,1321.3522415383195,1090.4985116637542,230.85372987456526,104220.0,107977.71487111934,100462.28512888066,7515.429742238688,0.8699056601348534,579826.1,0.9718603560619297,0.0,0.1530125593557415
2025-09-05,106200,107000,106100,106600,442357,-0.0037383177570093906,106860.0,104460.0,101838.33333333333,0.0,0.0,0.0,0.0,0.0,0.0,68.9655172413793,1308.7880286132422,1134.156415053652,174.63161355959028,104460.0,108179.87549310598,100740.12450689402,7439.750986211962,0.7876440359315746,569477.95,0.7767763440182364,-0.0037383177570093906,0.15440406909017668
2025-09-08,106100,106100,104100,104900,713309,-0.015947467166979368,106540.0,104610.0,101966.66666666667,0.0,0.0,0.0,0.0,0.0,0.0,53.913043478260875,1148.4167731464258,1137.0084866722068,11.40828647421904,104610.0,108131.90140033535,101088.09859966465,7043.802800670703,0.5411709424875342,571920.2,1.247217706246431,-0.015947467166979368,0.16753130222295984
2025-09-09,105500,105900,104700,105500,599237,0.0057197330791229906,106200.0,104805.0,102100.0,0.0,0.0,0.0,0.0,0.0,0.0,51.81818181818182,1057.5456553516706,1121.1159204080996,-63.57026505642898,104805.0,108045.84134625236,101564.15865374764,6481.682692504721,0.6072252427295804,575062.15,1.042038673559023,0.0057197330791229906,0.16730242780687202
2025-09-10,104900,107000,104900,106000,704159,0.004739336492890933,106000.0,105015.0,102206.66666666667,0.0,0.0,0.0,0.0,0.0,0.0,60.19417475728155,1014.1845726879401,1099.7296508640677,-85.54507817612762,105015.0,107967.44769105584,102062.55230894416,5904.895382111688,0.6668107453662763,577498.65,1.2193257940949298,0.004739336492890933,0.16759799901460637
2025-09-11,105900,106800,105400,106600,1118881,0.005660377358490676,105920.0,105185.0,102335.0,0.0,0.0,0.0,0.0,0.0,0.0,59.00000000000001,1016.5178033908596,1083.0872813694261,-66.56947797856651,105185.0,108088.55498982666,102281.44501017334,5807.1099796533235,0.74366681618873,606709.65,1.8441786775601805,0.005660377358490676,0.16250496846748722
